score,wallet,gmgn,pumpfun,maxtenminutes,winrate,traded_token,port_token,num_inside,laitren80,avg_roi,latestmonth_avg_pnl_latestmonth,pnl_latestmonth,threemonths_avg_pnl_latestmonth,pnl_threemonths,concatenated_inside
9,2sHY23WncKvVzcUznruzC4U2FvjkZ9PNVKWq5aMiX62j,"<a href=https://gmgn.ai/sol/address/2sHY23WncKvVzcUznruzC4U2FvjkZ9PNVKWq5aMiX62j target=_blank"">🔎 </a>",3,11,37,27,24,2,2,19,2669,64059.0,2669,64059.0,[PUNK3493 G]
9,DDRqPLzAfAg6co7VWgvQRWprLm3asvZ7gaVNCpEY39Yr,"<a href=https://gmgn.ai/sol/address/DDRqPLzAfAg6co7VWgvQRWprLm3asvZ7gaVNCpEY39Yr target=_blank"">🔎 </a>",5,29,33,17,12,1,1,-11,2325,27899.0,2325,27899.0,[DTF]
6,5PyJfeYiYtKzRUgyABAmNzX8664t175u1dsVuZ4ENi3M,"<a href=https://gmgn.ai/sol/address/5PyJfeYiYtKzRUgyABAmNzX8664t175u1dsVuZ4ENi3M target=_blank"">🔎 </a>",34,16,25,50,40,1,5,55,1385,55394.0,1305,61318.0,[LUCE]
11,D2frGtaSKMS4MFGCXzhUjdz5Q7UVaFue4dehk3afdjq1,"<a href=https://gmgn.ai/sol/address/D2frGtaSKMS4MFGCXzhUjdz5Q7UVaFue4dehk3afdjq1 target=_blank"">🔎 </a>",0,6,25,49,43,4,4,-19,3626,155916.0,3460,159157.0,[GNON Pnut Nailong ZEREBRO]
13,DNWz7S4SGc9CU4pPNR78Jce4RMt33d1mGYxjRZCsEiJ2,"<a href=https://gmgn.ai/sol/address/DNWz7S4SGc9CU4pPNR78Jce4RMt33d1mGYxjRZCsEiJ2 target=_blank"">🔎 </a>",0,6,27,32,29,3,2,-12,11231,325687.0,12063,373948.0,[Fartcoin RETARDIO LUCE]
14,Dj7GsDodnGGVZfAMzMqjgQhEoW36JLtnHkBhETxZVex,"<a href=https://gmgn.ai/sol/address/Dj7GsDodnGGVZfAMzMqjgQhEoW36JLtnHkBhETxZVex target=_blank"">🔎 </a>",0,0,42,7,7,1,2,56,10101,70704.0,10101,70704.0,[$RIF]
13,EBVaqMThgHTEpuMXNjEfZcRJD5P74HhEbbdXrr5PX5De,"<a href=https://gmgn.ai/sol/address/EBVaqMThgHTEpuMXNjEfZcRJD5P74HhEbbdXrr5PX5De target=_blank"">🔎 </a>",1,6,25,113,97,1,18,3673,7014,680344.0,7020,765220.0,[FOREST]
14,HXEioN2A6FiQNaiQKWF7eRXewRff3Jrhm5KH2sZfC2Zg,"<a href=https://gmgn.ai/sol/address/HXEioN2A6FiQNaiQKWF7eRXewRff3Jrhm5KH2sZfC2Zg target=_blank"">🔎 </a>",0,10,44,10,9,1,2,89,11801,106208.0,11801,106208.0,[Ban]
9,6eom4XDrFMaUAWn5K9idJAhm9KCVznBGMctXGDan8joX,"<a href=https://gmgn.ai/sol/address/6eom4XDrFMaUAWn5K9idJAhm9KCVznBGMctXGDan8joX target=_blank"">🔎 </a>",6,25,28,60,45,2,3,-2,2594,116746.0,2594,116746.0,[Banana scihub]
9,AJonwHiQRzwk85hN1hpMqd3sfFQ5uxd2fEJBgk9u3oGb,"<a href=https://gmgn.ai/sol/address/AJonwHiQRzwk85hN1hpMqd3sfFQ5uxd2fEJBgk9u3oGb target=_blank"">🔎 </a>",21,6,22,33,31,1,4,46,2053,63646.0,2053,63646.0,[$RIF]
6,hyPEEahTS5u6xoKPJHpH5pMZxjYGkneqJivtTKLBgwc,"<a href=https://gmgn.ai/sol/address/hyPEEahTS5u6xoKPJHpH5pMZxjYGkneqJivtTKLBgwc target=_blank"">🔎 </a>",0,0,15,39,38,1,4,-12,1045,39710.0,1045,39710.0,[BARSIK]
13,28FaJVf4uchpWGEy8YeKmh1wXqgV3hSRkPBuUCcw8eW3,"<a href=https://gmgn.ai/sol/address/28FaJVf4uchpWGEy8YeKmh1wXqgV3hSRkPBuUCcw8eW3 target=_blank"">🔎 </a>",0,0,28,7,7,1,1,10,7944,55608.0,7944,55608.0,[Ban]
11,4b889G4XAajVdqx9HPkX9aPSHwsFG7cSmJKHWTwJXAfF,"<a href=https://gmgn.ai/sol/address/4b889G4XAajVdqx9HPkX9aPSHwsFG7cSmJKHWTwJXAfF target=_blank"">🔎 </a>",8,4,36,23,22,1,2,20,4669,102710.0,4669,102710.0,[ZEREBRO]
13,CBRvUc4qKowpE6k1qfsZyvTU37xtVncvk2xr7qAYPbiP,"<a href=https://gmgn.ai/sol/address/CBRvUc4qKowpE6k1qfsZyvTU37xtVncvk2xr7qAYPbiP target=_blank"">🔎 </a>",24,12,22,162,136,8,17,57,8741,1188788.0,7877,1126353.0,[scihub BUCK $RIF $URO vvaifu WMM @DOGE OPK]
11,GzfMxWykE5kX5q8b6jqZGwz7JyfTpuEGPH4mBxc4Y4vR,"<a href=https://gmgn.ai/sol/address/GzfMxWykE5kX5q8b6jqZGwz7JyfTpuEGPH4mBxc4Y4vR target=_blank"">🔎 </a>",12,25,24,170,109,2,18,11,3123,340426.0,3123,340426.0,[$RIF AVA]
14,91aNmkVTVTezmvsGeu1T1ZK9ZCLVDXeT6nPsX6BDdJmQ,"<a href=https://gmgn.ai/sol/address/91aNmkVTVTezmvsGeu1T1ZK9ZCLVDXeT6nPsX6BDdJmQ target=_blank"">🔎 </a>",0,0,50,6,6,1,2,196,71260,427557.0,71260,427557.0,[$RIF]
17,DFVnMaPzWfgL4JyiyifGxxeLuaNN9mCM3A8RQPQ1f9Dz,"<a href=https://gmgn.ai/sol/address/DFVnMaPzWfgL4JyiyifGxxeLuaNN9mCM3A8RQPQ1f9Dz target=_blank"">🔎 </a>",0,25,73,20,15,0,0,10,7091,106358.0,7091,106358.0,<nil>
10,77YQpN38kD7oaMbmYucZv1bhbGgJBy3ZoFUu4MYLEZQB,"<a href=https://gmgn.ai/sol/address/77YQpN38kD7oaMbmYucZv1bhbGgJBy3ZoFUu4MYLEZQB target=_blank"">🔎 </a>",0,0,42,7,7,1,1,29,2431,17016.0,2431,17016.0,[FRED]
6,9w388kTHw3mRSkw1RydPtZnQmYMVhSqDL7hWUjtFCGr5,"<a href=https://gmgn.ai/sol/address/9w388kTHw3mRSkw1RydPtZnQmYMVhSqDL7hWUjtFCGr5 target=_blank"">🔎 </a>",10,20,18,20,16,1,1,12,1540,24645.0,1540,24645.0,[PRO]
13,CPEiEGbXAgUmNgJ1pBuwYPBMgt1dFjjsvrtjYvfEjBtV,"<a href=https://gmgn.ai/sol/address/CPEiEGbXAgUmNgJ1pBuwYPBMgt1dFjjsvrtjYvfEjBtV target=_blank"">🔎 </a>",4,10,28,94,84,3,12,-2,6981,586427.0,6981,586427.0,[Shoggoth Pnut GOAT]
11,FoGaNXdr4aEzWDN1j7N8tjc2n52czWVmmsaJh7JukYHR,"<a href=https://gmgn.ai/sol/address/FoGaNXdr4aEzWDN1j7N8tjc2n52czWVmmsaJh7JukYHR target=_blank"">🔎 </a>",0,8,30,12,10,1,3,44,4189,41892.0,3402,40824.0,[LUCE]
13,G9wDkXnC4H7buvRVbmkV9aawXJAHsvbm3Hztey9DYkXk,"<a href=https://gmgn.ai/sol/address/G9wDkXnC4H7buvRVbmkV9aawXJAHsvbm3Hztey9DYkXk target=_blank"">🔎 </a>",2,28,22,92,66,3,0,-7,6659,439500.0,6659,439500.0,[Pnut $RIF $URO]
13,GDrWv3LvTQ9KthfTsdQBqThmchfseHdx7QKzFKyC71Y4,"<a href=https://gmgn.ai/sol/address/GDrWv3LvTQ9KthfTsdQBqThmchfseHdx7QKzFKyC71Y4 target=_blank"">🔎 </a>",0,0,20,25,25,2,3,13,7966,199148.0,7656,206702.0,[Fartcoin GOAT]
13,GednEH4dgpdvTdUgDNHg4BAHLa5KPQojbcHSF6eg38JB,"<a href=https://gmgn.ai/sol/address/GednEH4dgpdvTdUgDNHg4BAHLa5KPQojbcHSF6eg38JB target=_blank"">🔎 </a>",15,34,29,225,148,7,33,156,11099,1642604.0,11099,1642604.0,[BUCK koto BOB soliloquy MONKEY LESTER pippin]
13,6pUtYz474QrpATEZnfb3iFbTKYA65pNyKAo4TQZAjtqe,"<a href=https://gmgn.ai/sol/address/6pUtYz474QrpATEZnfb3iFbTKYA65pNyKAo4TQZAjtqe target=_blank"">🔎 </a>",7,15,27,13,11,1,2,-11,6752,74270.0,6752,74270.0,[GOAT]
17,443nNmqPjkNSnN5wcPrUSXkM6Ru3jFJnRgwV4DghqfKH,"<a href=https://gmgn.ai/sol/address/443nNmqPjkNSnN5wcPrUSXkM6Ru3jFJnRgwV4DghqfKH target=_blank"">🔎 </a>",0,25,71,8,7,0,1,24,5545,38817.0,5545,38817.0,<nil>
17,2mLkAzcHAXTDy8NKFGKSMyPmDzk8dQ79U9Nrv7iUE7A3,"<a href=https://gmgn.ai/sol/address/2mLkAzcHAXTDy8NKFGKSMyPmDzk8dQ79U9Nrv7iUE7A3 target=_blank"">🔎 </a>",0,0,71,7,7,0,2,55,18602,130211.0,18602,130211.0,<nil>
14,AGDMKY1SWU68eHcQbmvNaqLAtVyeNaDS3Y2yo7reQNNA,"<a href=https://gmgn.ai/sol/address/AGDMKY1SWU68eHcQbmvNaqLAtVyeNaDS3Y2yo7reQNNA target=_blank"">🔎 </a>",14,0,42,7,7,1,2,85,9819,68734.0,8486,67890.0,[RIZ0]
14,79eJYUxZd58CY4qgePxortx8kvgYhzex6ADXvqGDo9ao,"<a href=https://gmgn.ai/sol/address/79eJYUxZd58CY4qgePxortx8kvgYhzex6ADXvqGDo9ao target=_blank"">🔎 </a>",0,9,40,11,10,1,2,101,13952,139518.0,13952,139518.0,[Ban]
11,3N1H4xZUWTLeFWhn69fR24KnugeYgGEz9uTxiscrnRH8,"<a href=https://gmgn.ai/sol/address/3N1H4xZUWTLeFWhn69fR24KnugeYgGEz9uTxiscrnRH8 target=_blank"">🔎 </a>",0,18,22,11,9,1,1,23,4283,38551.0,4283,38551.0,[Pnut]
9,6QkqUUdtaPJamPEmFJhB9LDL9n44aZjLPPKkChhQgxFf,"<a href=https://gmgn.ai/sol/address/6QkqUUdtaPJamPEmFJhB9LDL9n44aZjLPPKkChhQgxFf target=_blank"">🔎 </a>",4,13,26,23,19,1,0,-15,2174,41303.0,2174,41303.0,[Ban]
13,2ztJkd8iaqU3tHvjorEyRNz29MFWgFL1cK6FP9AQvRfV,"<a href=https://gmgn.ai/sol/address/2ztJkd8iaqU3tHvjorEyRNz29MFWgFL1cK6FP9AQvRfV target=_blank"">🔎 </a>",5,6,18,60,50,1,5,279,22771,1138542.0,23412,1217419.0,[Pnut]
13,BKamoBHhazC9HRdszY4iyPRdF6AybtgPznzNpdoFPRum,"<a href=https://gmgn.ai/sol/address/BKamoBHhazC9HRdszY4iyPRdF6AybtgPznzNpdoFPRum target=_blank"">🔎 </a>",0,0,36,11,11,4,3,48,16022,176243.0,75429,905150.0,[Pnut FRED RETARDIO Bert]
6,DZbeqB81K6XkF3QKFsQfAosBSqBDqUpBUiSVRrncUtn9,"<a href=https://gmgn.ai/sol/address/DZbeqB81K6XkF3QKFsQfAosBSqBDqUpBUiSVRrncUtn9 target=_blank"">🔎 </a>",0,16,17,100,80,1,5,-7,1208,96668.0,1259,104490.0,[MATL]
13,4vh4tC6N7oJeACxVD5MYDa3rzSGfbsgu81jsBcbXMBTc,"<a href=https://gmgn.ai/sol/address/4vh4tC6N7oJeACxVD5MYDa3rzSGfbsgu81jsBcbXMBTc target=_blank"">🔎 </a>",10,10,22,20,18,2,3,62,9064,163160.0,12395,260293.0,[FWOG CATANA]
9,77f8wdZZNVUdAaYDDHADLNu3NZSTd58Pv1TnCsqYW49K,"<a href=https://gmgn.ai/sol/address/77f8wdZZNVUdAaYDDHADLNu3NZSTd58Pv1TnCsqYW49K target=_blank"">🔎 </a>",10,17,14,137,102,2,7,-15,2652,270503.0,4089,445751.0,[Nailong CATANA]
6,Dya9k7Si9MoikbnwpGKFwDe3GXbnbf5E3EqEyb1QVQsk,"<a href=https://gmgn.ai/sol/address/Dya9k7Si9MoikbnwpGKFwDe3GXbnbf5E3EqEyb1QVQsk target=_blank"">🔎 </a>",7,25,17,309,224,5,27,-9,1571,351821.0,930,222240.0,[Banana ACT $URO $RIF pippin]
9,45w9unpVeSgXHDjzKTAkHWobZsoFsGNUF9SKDYJhmMeS,"<a href=https://gmgn.ai/sol/address/45w9unpVeSgXHDjzKTAkHWobZsoFsGNUF9SKDYJhmMeS target=_blank"">🔎 </a>",3,16,40,55,42,2,7,21,3648,153199.0,1550,69759.0,[Shoggoth ACT]
13,JDPEw3QsNuePCt1wNZABA3j8MumBZhxKXZ9GJcWu5xt4,"<a href=https://gmgn.ai/sol/address/JDPEw3QsNuePCt1wNZABA3j8MumBZhxKXZ9GJcWu5xt4 target=_blank"">🔎 </a>",11,30,38,26,18,1,5,143,9670,174053.0,9670,174053.0,[scihub]
13,DEabpWitAzX2jNn7sSxu4ExKbp5wRKnpBScj3M9dyuTk,"<a href=https://gmgn.ai/sol/address/DEabpWitAzX2jNn7sSxu4ExKbp5wRKnpBScj3M9dyuTk target=_blank"">🔎 </a>",0,15,23,51,43,3,7,-6,11166,480130.0,11166,480130.0,[Fartcoin ZEREBRO pippin]
6,CLhxXDchUtnwsn62Vp4zP1f2sRFXyZq2VjzvSeFRc93t,"<a href=https://gmgn.ai/sol/address/CLhxXDchUtnwsn62Vp4zP1f2sRFXyZq2VjzvSeFRc93t target=_blank"">🔎 </a>",2,11,23,99,78,4,6,3,2120,165378.0,142,12373.0,[Project89 Kiri GOAT ZEREBRO]
14,CWaTfG6yzJPQRY5P53nQYHdHLjCJGxpC7EWo5wzGqs3n,"<a href=https://gmgn.ai/sol/address/CWaTfG6yzJPQRY5P53nQYHdHLjCJGxpC7EWo5wzGqs3n target=_blank"">🔎 </a>",0,26,56,63,30,15,9,166,19131,573924.0,26095,1383056.0,[r/snoofi DEV ACT Fartcoin SC wDOG MEW FRED GOAT CENTS ZEREBRO Ban PONKE MOODENG LUCE]
13,6k2c1GiEJbwrXugks6EDbNzyeyUNjCG2MM54JUos6hWP,"<a href=https://gmgn.ai/sol/address/6k2c1GiEJbwrXugks6EDbNzyeyUNjCG2MM54JUos6hWP target=_blank"">🔎 </a>",0,13,20,36,24,1,1,13,6258,150186.0,5089,147593.0,[Fartcoin]
13,ARnKHatt89qdzRYV86v6z73PntkRxaPuv2RHhDZ68HfV,"<a href=https://gmgn.ai/sol/address/ARnKHatt89qdzRYV86v6z73PntkRxaPuv2RHhDZ68HfV target=_blank"">🔎 </a>",0,24,27,29,22,3,2,-1,17374,382236.0,17374,382236.0,[$RIF 🦅 LESTER]
12,G69Cc3D1emJfc8iWW9ooihYXnGiXx7XUkFGCpq3K2Z3Z,"<a href=https://gmgn.ai/sol/address/G69Cc3D1emJfc8iWW9ooihYXnGiXx7XUkFGCpq3K2Z3Z target=_blank"">🔎 </a>",0,5,44,34,29,1,3,36,3847,111563.0,3928,133553.0,[Fartcoin]
14,BgJeCJUiDKDXPtw9uXsU8w7R9784yL3a2u8SuHuPchTA,"<a href=https://gmgn.ai/sol/address/BgJeCJUiDKDXPtw9uXsU8w7R9784yL3a2u8SuHuPchTA target=_blank"">🔎 </a>",0,20,50,5,4,1,2,89,19561,78244.0,19561,78244.0,[ACT]
13,5tT9SBgeVDkgHfwrK4QMfjtSFGatbnDJqgJJiuGvwbZ8,"<a href=https://gmgn.ai/sol/address/5tT9SBgeVDkgHfwrK4QMfjtSFGatbnDJqgJJiuGvwbZ8 target=_blank"">🔎 </a>",0,4,38,41,39,6,8,15,8350,325666.0,9692,397373.0,[scihub GNON ACT CENTS GOAT pippin]
13,9SgYVHb7zrEg6ZjfMaMbis1oZs8QDtmak17SqyVcUcFC,"<a href=https://gmgn.ai/sol/address/9SgYVHb7zrEg6ZjfMaMbis1oZs8QDtmak17SqyVcUcFC target=_blank"">🔎 </a>",5,27,38,40,26,2,6,26,3634,94476.0,5224,146283.0,[GOAT AVB]
11,C8u9wTYpsJRfzbHJHQ9Yb8xAmfo4yc25KYjRGSf8KNuK,"<a href=https://gmgn.ai/sol/address/C8u9wTYpsJRfzbHJHQ9Yb8xAmfo4yc25KYjRGSf8KNuK target=_blank"">🔎 </a>",31,27,25,22,16,1,3,75,4806,76903.0,4806,76903.0,[🟥🟩]
11,FWabHzgGLWbpWTNP8noYU7wLu6ARXPk3Ygt647jdQ1Mr,"<a href=https://gmgn.ai/sol/address/FWabHzgGLWbpWTNP8noYU7wLu6ARXPk3Ygt647jdQ1Mr target=_blank"">🔎 </a>",2,11,35,35,28,2,4,156,3116,87252.0,3195,95839.0,[FRED OPK]
7,EoFiyQyLeDLyjQkN9LRV4TdD2Uprg8ZHBHy6rMKBeM2f,"<a href=https://gmgn.ai/sol/address/EoFiyQyLeDLyjQkN9LRV4TdD2Uprg8ZHBHy6rMKBeM2f target=_blank"">🔎 </a>",0,10,37,10,8,2,0,-19,5472,43774.0,-1705,-15343.0,[vvaifu MARSHALL]
13,Dg34Qo3KSDuPxoy6fMnzDRycbXfZ3bhf1K82JoNDfrtm,"<a href=https://gmgn.ai/sol/address/Dg34Qo3KSDuPxoy6fMnzDRycbXfZ3bhf1K82JoNDfrtm target=_blank"">🔎 </a>",8,9,17,75,57,5,8,13,35692,2034439.0,28736,2011513.0,[blormmy Pnut coby ZEREBRO GAYCOIN]
14,6B1aNKMRn858GMbWqjzif9aorX1wNrsy8Ec7qRR3Z1Bf,"<a href=https://gmgn.ai/sol/address/6B1aNKMRn858GMbWqjzif9aorX1wNrsy8Ec7qRR3Z1Bf target=_blank"">🔎 </a>",0,26,50,19,12,2,4,37,6207,74482.0,5644,73370.0,[Pnut HAPPY]
9,BarAqaBtpbUNcrLECJnD1VnLvjJvK9Lej6S2dopGmKQE,"<a href=https://gmgn.ai/sol/address/BarAqaBtpbUNcrLECJnD1VnLvjJvK9Lej6S2dopGmKQE target=_blank"">🔎 </a>",0,0,31,25,22,1,4,61,2913,64084.0,2689,61847.0,[MemesAI]
13,5NfyPVAUfR9ynV8pejw5eTxB3VWZZyqwaYXSFUx2QxkX,"<a href=https://gmgn.ai/sol/address/5NfyPVAUfR9ynV8pejw5eTxB3VWZZyqwaYXSFUx2QxkX target=_blank"">🔎 </a>",0,10,29,30,27,3,4,12,7660,206820.0,7660,206820.0,[AEON eliza GOAT]
13,4Z6fJyAQbMsXfcFFjeSjj1zxQpdkmSBGvV4f1RTkAhH4,"<a href=https://gmgn.ai/sol/address/4Z6fJyAQbMsXfcFFjeSjj1zxQpdkmSBGvV4f1RTkAhH4 target=_blank"">🔎 </a>",4,4,31,21,19,1,2,88,5779,109795.0,5389,107786.0,[Ban]
14,839rTmmrinvgD17Xtn7M2QsNFhQrBjTajmGUUPm15oAe,"<a href=https://gmgn.ai/sol/address/839rTmmrinvgD17Xtn7M2QsNFhQrBjTajmGUUPm15oAe target=_blank"">🔎 </a>",18,18,40,11,5,1,1,-6,3870,19352.0,18113,181125.0,[CATANA]
13,4WBWf5RjpeZra6Qu889nDdn9BAiTr7KrUi8f4JoiVYqn,"<a href=https://gmgn.ai/sol/address/4WBWf5RjpeZra6Qu889nDdn9BAiTr7KrUi8f4JoiVYqn target=_blank"">🔎 </a>",0,12,38,24,21,2,2,2,72370,1519773.0,72370,1519773.0,[Pnut GOAT]
14,FdmSZ2XtKuoMGUjpnNteiUEGMk7DDnWrSt9T3uWYxPHG,"<a href=https://gmgn.ai/sol/address/FdmSZ2XtKuoMGUjpnNteiUEGMk7DDnWrSt9T3uWYxPHG target=_blank"">🔎 </a>",0,22,57,9,7,1,4,260,7509,52562.0,7509,52562.0,[Pnut]
13,61bXeen4NBSAh54u1gpsnt9azRGRpfqk1CYKBeahuBfe,"<a href=https://gmgn.ai/sol/address/61bXeen4NBSAh54u1gpsnt9azRGRpfqk1CYKBeahuBfe target=_blank"">🔎 </a>",11,11,33,9,6,1,1,28,5834,35002.0,5834,35002.0,[LESTER]
9,929fdCX5PbGr7rxrUb7GEyVbxka9WXszGkzHrnnCZ58m,"<a href=https://gmgn.ai/sol/address/929fdCX5PbGr7rxrUb7GEyVbxka9WXszGkzHrnnCZ58m target=_blank"">🔎 </a>",0,4,25,72,63,1,3,58,2112,133048.0,2112,133048.0,[Banana]
6,Ee7ktRU5cN7vN2aPmJ49PmT1ebsvFgPzHHiNkUyCHyNd,"<a href=https://gmgn.ai/sol/address/Ee7ktRU5cN7vN2aPmJ49PmT1ebsvFgPzHHiNkUyCHyNd target=_blank"">🔎 </a>",2,7,13,81,73,1,2,-17,1494,109029.0,1516,118220.0,[WORM]
11,rVYrYTYaJfMdarBusVEJ9EK9o6a2LvpCt9ztXYyVndT,"<a href=https://gmgn.ai/sol/address/rVYrYTYaJfMdarBusVEJ9EK9o6a2LvpCt9ztXYyVndT target=_blank"">🔎 </a>",33,27,30,36,26,2,6,58,4057,105484.0,4057,105484.0,[SAPO fur]
14,Uj1M8FbadQW3XVLNtrmn3jcgh8LDVQbPxpJwxyRSKvG,"<a href=https://gmgn.ai/sol/address/Uj1M8FbadQW3XVLNtrmn3jcgh8LDVQbPxpJwxyRSKvG target=_blank"">🔎 </a>",0,30,42,10,7,2,2,145,10360,72518.0,10360,72518.0,[Lingyan aura]
13,6Hu85GZPz74fEqiT5aFVdXR2yAuKFFiVW2Yqkv6Nx3JR,"<a href=https://gmgn.ai/sol/address/6Hu85GZPz74fEqiT5aFVdXR2yAuKFFiVW2Yqkv6Nx3JR target=_blank"">🔎 </a>",0,2,27,45,40,6,6,6,6051,242029.0,20637,1093740.0,[GNON MANIFEST GOAT CENTS MemesAI supercycle]
13,8hR81ENrpzfJ895bjAwkH7HvDdAmGzbbFFFknTh6nNdf,"<a href=https://gmgn.ai/sol/address/8hR81ENrpzfJ895bjAwkH7HvDdAmGzbbFFFknTh6nNdf target=_blank"">🔎 </a>",13,20,25,15,12,1,3,68,8317,99805.0,8317,99805.0,[ACT]
13,BARbNhs8DevyzzYVzrLacCmQDAcpxG9MAzxEXAxQxhmk,"<a href=https://gmgn.ai/sol/address/BARbNhs8DevyzzYVzrLacCmQDAcpxG9MAzxEXAxQxhmk target=_blank"">🔎 </a>",0,0,20,22,20,3,3,22,12650,253008.0,12057,265243.0,[ACT Pnut Bert]
13,AR1v6Y1UpXi7wSAXXZxfGjFjzqwV1ZdcpRLR2UHtZJSA,"<a href=https://gmgn.ai/sol/address/AR1v6Y1UpXi7wSAXXZxfGjFjzqwV1ZdcpRLR2UHtZJSA target=_blank"">🔎 </a>",0,0,31,16,16,4,4,234,17944,287096.0,17944,287096.0,[KIRA ZEREBRO BUU CATANA]
6,5su9sycBdiSRg1HFqKWV4gWVCZsJUj9R5PV9Wmpfu7Gs,"<a href=https://gmgn.ai/sol/address/5su9sycBdiSRg1HFqKWV4gWVCZsJUj9R5PV9Wmpfu7Gs target=_blank"">🔎 </a>",0,4,30,21,20,1,1,-5,1650,32993.0,1650,32993.0,[LUCE]
14,2WKpXByfTpCWtTiSEAcrgNYWNCm9KyhNHSqVTfNqS1oF,"<a href=https://gmgn.ai/sol/address/2WKpXByfTpCWtTiSEAcrgNYWNCm9KyhNHSqVTfNqS1oF target=_blank"">🔎 </a>",0,0,60,5,5,1,1,157,110846,554232.0,110846,554232.0,[Ban]
14,C91HMGem2D42f5zBtVj5GtFmDvhauPtd18A891rgcUVD,"<a href=https://gmgn.ai/sol/address/C91HMGem2D42f5zBtVj5GtFmDvhauPtd18A891rgcUVD target=_blank"">🔎 </a>",10,20,44,10,9,2,2,36,31522,283701.0,26473,264732.0,[$RIF GOAT]
13,GiFZNo2YFrnRP1iJM2hnVgBZ8ACw5fHVCtMfAfxmY5QZ,"<a href=https://gmgn.ai/sol/address/GiFZNo2YFrnRP1iJM2hnVgBZ8ACw5fHVCtMfAfxmY5QZ target=_blank"">🔎 </a>",0,4,15,22,19,1,1,4,6911,131313.0,6773,142241.0,[BULLY]
