score,wallet,gmgn,pumpfun,maxtenminutes,winrate,traded_token,port_token,num_inside,laitren80,avg_roi,latestmonth_avg_pnl_latestmonth,pnl_latestmonth,threemonths_avg_pnl_latestmonth,pnl_threemonths,concatenated_inside
13,G6bBRhQ97pxTDsHZQmU4LKgxzXn66sYVE3Qo6cydDWNd,"<a href=https://gmgn.ai/sol/address/G6bBRhQ97pxTDsHZQmU4LKgxzXn66sYVE3Qo6cydDWNd target=_blank"">🔎 </a>",0,7,30,14,13,1,3,53,6930,90087.0,6930,90087.0,[BITCAT]
9,2iW2YLGUPE99QzKwde5iJy3sdKLPpTDkwsaC2qM3JvU8,"<a href=https://gmgn.ai/sol/address/2iW2YLGUPE99QzKwde5iJy3sdKLPpTDkwsaC2qM3JvU8 target=_blank"">🔎 </a>",6,6,30,61,53,1,11,35,1938,102719.0,2088,127343.0,[$RIF]
9,7YnrHnd6y62WtcZje3SwDjte5pHAKv1ZxNjQhfgZGKvE,"<a href=https://gmgn.ai/sol/address/7YnrHnd6y62WtcZje3SwDjte5pHAKv1ZxNjQhfgZGKvE target=_blank"">🔎 </a>",0,14,17,35,28,3,3,-20,2486,69617.0,3661,109837.0,[Shoggoth Nailong LUCE]
5,GJWtU86VSjG9gcTvsfz2yyLaETvAqRe4bmqLfnBP5BUe,"<a href=https://gmgn.ai/sol/address/GJWtU86VSjG9gcTvsfz2yyLaETvAqRe4bmqLfnBP5BUe target=_blank"">🔎 </a>",2,20,27,40,11,1,1,21,1494,16439.0,-2829,-118814.0,[nomnom]
13,4F5Yr1UJcRgj7dSYfPq6iyqyFv8mGPJWHj8Jkc8qBniZ,"<a href=https://gmgn.ai/sol/address/4F5Yr1UJcRgj7dSYfPq6iyqyFv8mGPJWHj8Jkc8qBniZ target=_blank"">🔎 </a>",5,25,13,20,15,1,1,-15,12278,184167.0,12278,184167.0,[WORM]
11,Go7e5wGBeCypzZYysZQzh4iPtUrbtPq5h9iJj1krFJCE,"<a href=https://gmgn.ai/sol/address/Go7e5wGBeCypzZYysZQzh4iPtUrbtPq5h9iJj1krFJCE target=_blank"">🔎 </a>",12,5,21,40,38,1,3,-8,3138,119250.0,3138,119250.0,[$RIF]
6,F7AGXP1f8PNqmFfhtDxkNQqjhWBanjQhXefjuuowpuu4,"<a href=https://gmgn.ai/sol/address/F7AGXP1f8PNqmFfhtDxkNQqjhWBanjQhXefjuuowpuu4 target=_blank"">🔎 </a>",2,20,39,34,23,1,1,-5,2742,63063.0,1686,47198.0,[Shoggoth]
13,85DQgGZvcjYyAw3a1s6rW68Cci4sXGskLcYCwWGsgtGX,"<a href=https://gmgn.ai/sol/address/85DQgGZvcjYyAw3a1s6rW68Cci4sXGskLcYCwWGsgtGX target=_blank"">🔎 </a>",2,10,33,129,112,10,16,4,6944,777708.0,6855,822554.0,[ACT degenai vvaifu $URO $RIF Ropirito GOAT WMM AVA pippin]
13,C9Pe9x6RdSewHWC61J56ka4Pp7eZhk3RsyjBHirwonDB,"<a href=https://gmgn.ai/sol/address/C9Pe9x6RdSewHWC61J56ka4Pp7eZhk3RsyjBHirwonDB target=_blank"">🔎 </a>",0,0,28,7,7,1,1,-10,19673,137711.0,19673,137711.0,[Pnut]
11,GwDDtF1pTbgY3DQKXswS4WBYqsA4EpzLCaMSc6Hryvp7,"<a href=https://gmgn.ai/sol/address/GwDDtF1pTbgY3DQKXswS4WBYqsA4EpzLCaMSc6Hryvp7 target=_blank"">🔎 </a>",0,4,28,23,21,1,5,178,3829,80401.0,3677,80886.0,[vvaifu]
