wallet,token_address,sol_value
3hS6KTasgxXcVqGrEoSSkj4Kze18drwCYAVGkukHYGPv,HjdE4j3rHC7YMxFMHXSgEzXoNcVU6YBCfg9Q1gTJpump,9.0
yoyojFYMAAQNziZWuqHyiuHVD8Ah4QSosvFYG4MhYdx,wUtwjNmjCP9TTTtoc5Xn5h5sZ2cYJm5w2w44b79yr2o,30.0
61yC13BmRraupfSdXpMJXTkPdpX833pzyZrc7ew8kQAv,7yZFFUhq9ac7DY4WobLL539pJEUbMnQ5AGQQuuEMpump,40.0
6nv6eST5yZDZ9PKXhELek7vUcmmUHzxNbYfS7DPRQjNk,DQc6FTgu2HiB1PMUkHj8SATCtxsCeeMz5hiaqwk1pump,9.0
B7VP9ZypXpCsSkjD1r6zR8SGLZpb4Eji2ajfiy1tguhQ,C9CB2JTwukoVjpstrv3o1QvkiHZtCvbLFBjGdhWgpump,16.0
2KH2bfwCmGDGcqNCDbcG4deqebA8KgN9eTfLvhUKUaMk,5ZUmjBXhqxwgAKGG1BgLHPC8kYbL14bCwHSjDdB82Ty7,10.0
5HfrnyodRraAw63aRVPueD5Er4D1sRKMZBMx9LBbhUAs,GMFs9mx4BdFQDuLwwtYaV6Zg5McE3ZY7tNwN2SCfpump,149.43
4DJSGDmi5bofmFDzU8E5jTNJ1K7MyFdJgN58A3b1cZQE,7wUwkXo8Qjt3cYM8BaHHHeyfDY7ZSn7qvod92pNupump,13.07
2KH2bfwCmGDGcqNCDbcG4deqebA8KgN9eTfLvhUKUaMk,DcmUzRDHdQcMmdbaEGeiuaKRoUoM7HvMvKnsS9NFpump,10.0
DH4rRN9H2SHQVU6GzoufPT6zvs7JSGXSd3h9qjwgk14V,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,40.8
yoyojFYMAAQNziZWuqHyiuHVD8Ah4QSosvFYG4MhYdx,HUdqc5MR5h3FssESabPnQ1GTgTcPvnNudAuLj5J6a9sU,6.45
7w4rJuBpr3xAfEg3nZGczGtsBnXaZppPVH7gMCFHEpDn,4r15nuCSzJKgxWZhE2gfFf2FABz4kQuFcfgBE6erpump,9.9
61hcYmdXg5hqNtnEXVHjyDYL8fVvqt6SocJb8UGdY38W,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,20.71
4Wt5PpRuyfi7R5TM1FhsFvR6LLbjNoADYNNxXN3hxy1q,zAgSwaSC2XjeM545v4YT4ifMpnxkuEE1f8Fq2Ygpump,17.59
yoyojFYMAAQNziZWuqHyiuHVD8Ah4QSosvFYG4MhYdx,GmbC2HgWpHpq9SHnmEXZNT5e1zgcU9oASDqbAkGTpump,15.0
CuFKb1jBMDwi5jAvU6QuN5LJTfBoWKV2PZakcgPeyRU1,2oGLxYuNBJRcepT1mEV6KnETaLD7Bf6qq3CM6skasBfe,12.27
6KHVqXbPoUnjPjQxXvCVXAqUkXrZQmBycAnZ7ktoqVDv,Gu3LDkn7Vx3bmCzLafYNKcDxv2mH7YN44NJZFXnypump,26.88
6KHVqXbPoUnjPjQxXvCVXAqUkXrZQmBycAnZ7ktoqVDv,FjTJCCQpLU4fpH58mN1bTQXiQsjJVYai3QYFjYqYpump,8.15
2KH2bfwCmGDGcqNCDbcG4deqebA8KgN9eTfLvhUKUaMk,GMmCwmJj9yZNG1HTVsjak7KcL9FCEYHw9RJ1uzBFpump,10.0
CTVzGRrQFGmHMKji2FdZx5NzJHcMvjhLF5LRKKRewVa1,CNvitvFnSM5ed6K28RUNSaAjqqz5tX1rA5HgaBN9pump,5.69
GrJTREq875hKehiotPEZhmvNC9jcpCU2seoAtAM5B9bR,7ZqzGzTNg5tjK1CHTBdGFHyKjBtXdfvAobuGgdt4pump,30.0
