wallet,token_address,sol_value
JEAq8rjy9tdSnjjgezPWP6617PkF3ddMzmBHg9XRSYKF,GJtJuWD9qYcCkrwMBmtY1tpapV1sKfB2zUv9Q4aqpump,100.0
DCTKDUp91QF4s8XwgA6Y9zY2dCAUj4pnriyWnZ2b2okM,FvgqHMfL9yn39V79huDPy3YUNDoYJpuLWng2JfmQpump,10.0
DEGDqmEfViMJ3EWT3tA4z8MzMTxvherqXBLjYBDz6rZm,CWFa2nxUMf5d1WwKtG9FS9kjUKGwKXWSjH8hFdWspump,13.0
5Rxow9CPbEV3YjUr8y9Xnf8T8R1bqWF8tDCfk5CD7GX6,CNyMaRR4krm1yAxfCvPXevNMArZZZk7sRqKwX68uCeJk,20.0
5hcekoM96yLZRvGL2YbdogtnUtdhJq8jfzZgFEVpqz66,4ZiYgt9nyPXvSfBWADGYHiWnTdnogrFgLTALdFWVpump,14.04
DZbeqB81K6XkF3QKFsQfAosBSqBDqUpBUiSVRrncUtn9,7hfP5T1rirsb1EhhLrRnsM8EN3FCaio7cmAwMdcypump,6.12
GDrWv3LvTQ9KthfTsdQBqThmchfseHdx7QKzFKyC71Y4,4eKpTh1XedMmDc41sTfYmGDtALQYYHZZyawdwPMPpump,40.0
3x7RRpiDX8jwQ7Q1542oA8FSCLNsvoq8zqrtScFqvCTm,9f6YJrR9jMjp7iKf9Jay5omRnorSjSEbvEAdoSkJpump,9.09
6Tt3gG7skYxDtDHddvXvtsggYeF5HpPdtwim7VG85FJ2,HWnTV2PMEgaW8CBmW8mRyVsPCWQs954amFt1Qq7ipump,15.0
6shJsCAtZC5dJ3QDhHK1XbtkG5khrmCVaVEucWSPUE9h,2AkzNQ23RafGboTrPxW9p4D4g4hpY71Jc1pgQ4Ycpump,10.0
3N1H4xZUWTLeFWhn69fR24KnugeYgGEz9uTxiscrnRH8,FuQASH8ps9NPeDu4h3rVtMBygKYoSiSTZ4uSiA5tpump,10.04
4vdaHQc2Ce9iHxvRfDCTaNUi8ZU8BYzrkqg25e5tTuw8,zAgSwaSC2XjeM545v4YT4ifMpnxkuEE1f8Fq2Ygpump,5.77
9dHTMYX6wFyPta3zb4VYo7th9mtYS9ysgJ5hUa8xq13,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,22.33
6zDZ32CKVCJVbD2vNLyNKYRWS2vqhdZ9B77FpAoV4kaB,88YxavkzLJWXdRtqfg54gANpmn8xQGSYed65dGuc8qH3,9.27
6J8p22Q8XfZnRSZHKvo1CK24bH8KDYxoTfuFUWnA1gpa,7JofsgKgD3MerQDa7hEe4dfkY3c3nMnsThZzUuYyTFpE,6.43
4pZzD9RutSZekCNUAu2srn5985NdNq5M9mKDY81rPYGR,jimBqijNp9yZwgMmxFaLECr5rFypPGZQNEqL9YU4UjT,20.59
7hDYFYF9PVVyEmDUdUzXFt5PCkmm9PrtpP6x9iHrLCHF,GgvFJw7eGMwVruF3kTYeuwiTGBx12buZxt6gG6FTpump,10.0
GoyDdZG1pYQCRPEZaNWdDsZK7QPDMPPUY1VVkXes4sRn,ZEUS1aR7aX8DFFJf5QjWj2ftDDdNTroMNGo8YoQm3Gq,21.6
78x7u7jwmSyRZYpKvknTsMaDzCSuYtRsiAvvzPDwLQ44,JCEAhbs5giqvXX1uNqkqTViUgkjbMFC6MWb8uL5opump,9.9
6Tt3gG7skYxDtDHddvXvtsggYeF5HpPdtwim7VG85FJ2,FvgqHMfL9yn39V79huDPy3YUNDoYJpuLWng2JfmQpump,30.0
FRZj9fwsWictegkvC6aDeRZFWxa3mmFBhpKWwFHjBcoG,4j9bDg7iWNah1Qa61rrqwWZMtEdqV3fV56SzyhfNpump,40.5
77f8wdZZNVUdAaYDDHADLNu3NZSTd58Pv1TnCsqYW49K,H2c31USxu35MDkBrGph8pUDUnmzo2e4Rf4hnvL2Upump,25.0
CGMHhGbz391t4sGeNXjNEV3jHzWNvASZ8zum3fYpMVQ9,CWFa2nxUMf5d1WwKtG9FS9kjUKGwKXWSjH8hFdWspump,10.0
7hDYFYF9PVVyEmDUdUzXFt5PCkmm9PrtpP6x9iHrLCHF,SsKFgDPEqyzAM8nWPiiX7MGY7iNDTEX6DxRdxmkpump,10.0
6QkqUUdtaPJamPEmFJhB9LDL9n44aZjLPPKkChhQgxFf,9PR7nCP9DpcUotnDPVLUBUZKu5WAYkwrCUx9wDnSpump,105.0
GednEH4dgpdvTdUgDNHg4BAHLa5KPQojbcHSF6eg38JB,77RBCP95AFT9XRsx4xuGUHjBQsjcatGYCZ2VXx8Epump,21.0
HooderpigTVYapoXi6PQzxwtWhq3U1cuGvyu89fGjruY,6E4NgMPvK7fNYPUVc15rVCE3qM3qDrZKLii862HHpump,104.48
