score,wallet,gmgn,pumpfun,maxtenminutes,winrate,traded_token,port_token,num_inside,laitren80,avg_roi,latestmonth_avg_pnl_latestmonth,pnl_latestmonth,threemonths_avg_pnl_latestmonth,pnl_threemonths,concatenated_inside
13,BWR2YQ5V27MfkhJ2bhZdEafDDkvEZE62on5XjNh5DUTp,"<a href=https://gmgn.ai/sol/address/BWR2YQ5V27MfkhJ2bhZdEafDDkvEZE62on5XjNh5DUTp target=_blank"">🔎 </a>",5,10,38,20,18,2,2,126,23367,420600.0,23367,420600.0,[$RIF scihub]
11,38JyRsDq7dh3EXNDMk4KG34TVsnAwF5pYRhnC6LdPr2E,"<a href=https://gmgn.ai/sol/address/38JyRsDq7dh3EXNDMk4KG34TVsnAwF5pYRhnC6LdPr2E target=_blank"">🔎 </a>",0,2,13,40,37,4,5,-37,4398,162743.0,4267,166432.0,[AVB LUCE MOODENG Ban]
13,2AMmn3vjhVVwu2C5URwd6vHc9bAxfT5rCWYtERQaKiwo,"<a href=https://gmgn.ai/sol/address/2AMmn3vjhVVwu2C5URwd6vHc9bAxfT5rCWYtERQaKiwo target=_blank"">🔎 </a>",2,0,11,34,34,3,2,0,6471,220009.0,6802,251679.0,[GOAT CENTS vvaifu]
13,BM8p5MKpGaFeAGEVhpEhRZWe8Lo1DWyF4eMsLTAmgst4,"<a href=https://gmgn.ai/sol/address/BM8p5MKpGaFeAGEVhpEhRZWe8Lo1DWyF4eMsLTAmgst4 target=_blank"">🔎 </a>",0,4,30,25,20,2,6,14,3223,64457.0,5470,153161.0,[GOAT MOODENG]
12,FoGaNXdr4aEzWDN1j7N8tjc2n52czWVmmsaJh7JukYHR,"<a href=https://gmgn.ai/sol/address/FoGaNXdr4aEzWDN1j7N8tjc2n52czWVmmsaJh7JukYHR target=_blank"">🔎 </a>",0,6,41,15,12,1,4,56,4514,54164.0,3460,51895.0,[LUCE]
13,Eca5xuGLQUmeEVxuauRhbpRT27Tdqq2A4LGmZhz1Jkkd,"<a href=https://gmgn.ai/sol/address/Eca5xuGLQUmeEVxuauRhbpRT27Tdqq2A4LGmZhz1Jkkd target=_blank"">🔎 </a>",6,13,36,15,11,3,1,18,17142,188559.0,17998,251966.0,[GOAT MemesAI MOTHER]
11,B8ddo2YQigge4Utptq22NLh5hS1BRFnK2PzfrbiGaviA,"<a href=https://gmgn.ai/sol/address/B8ddo2YQigge4Utptq22NLh5hS1BRFnK2PzfrbiGaviA target=_blank"">🔎 </a>",30,5,29,20,17,2,2,73,2905,49386.0,49803,996051.0,[$RIF $michi]
14,CEBxYsY5wGXyMfPmh18CjPHXuwP96EYEhtf86neky8Jc,"<a href=https://gmgn.ai/sol/address/CEBxYsY5wGXyMfPmh18CjPHXuwP96EYEhtf86neky8Jc target=_blank"">🔎 </a>",2,0,42,39,38,2,6,104,11511,437400.0,13443,524289.0,[GOAT $RIF]
9,4LKsQC8TAnMt223hk8jKc42wZdSeoUQAwAQFzPrBosgb,"<a href=https://gmgn.ai/sol/address/4LKsQC8TAnMt223hk8jKc42wZdSeoUQAwAQFzPrBosgb target=_blank"">🔎 </a>",6,13,29,144,109,3,12,2,2813,306568.0,3006,348750.0,[LUCE ai16z MOODENG]
13,89bLmpFsgzZwJKruBpAY33sBqAiUDjm3uVk9MdsxPKDd,"<a href=https://gmgn.ai/sol/address/89bLmpFsgzZwJKruBpAY33sBqAiUDjm3uVk9MdsxPKDd target=_blank"">🔎 </a>",0,0,27,11,11,1,1,49,6933,76263.0,6933,76263.0,[LESTER]
